Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
20625,6243,6024,3943,5151,848
20650,6247,6036,3951,5160,849
20675,6248,6045,3959,5166,852
20700,6250,6058,3969,5178,854
20725,6253,6066,3977,5187,855
20750,6256,6075,3984,5196,856
20775,6260,6082,3986,5203,857
20800,6264,6085,3989,5208,859
20825,6266,6098,3997,5217,862
20850,6269,6106,4001,5223,863
20875,6273,6116,4009,5232,863
20900,6276,6125,4014,5237,863
20925,6280,6135,4021,5243,863
20950,6285,6146,4028,5252,866
20975,6291,6155,4033,5259,868
21000,6292,6159,4036,5267,869
21025,6299,6169,4044,5278,870
21050,6302,6180,4051,5283,871
21075,6306,6188,4054,5291,871
21100,6311,6204,4063,5302,873
21125,6321,6213,4072,5312,873
21150,6328,6218,4075,5319,875
21175,6333,6227,4083,5326,876
21200,6337,6232,4086,5332,877
21225,6338,6242,4094,5339,880
